2023-10-21 22:43:50,555 p=128758 u=igor n=ansible | [WARNING]: Invalid characters were found in group names but not replaced, use -vvvv to see details

2023-10-21 22:43:50,780 p=128758 u=igor n=ansible | PLAY [bastion-elvm] ****************************************************************************************************************
2023-10-21 22:43:50,789 p=128758 u=igor n=ansible | TASK [Gathering Facts] *************************************************************************************************************
2023-10-21 22:43:52,095 p=128758 u=igor n=ansible | ok: [158.160.45.111]
2023-10-21 22:43:52,125 p=128758 u=igor n=ansible | TASK [bastion : Install squid] *****************************************************************************************************
2023-10-21 22:44:24,791 p=128758 u=igor n=ansible | changed: [158.160.45.111]
2023-10-21 22:44:24,796 p=128758 u=igor n=ansible | TASK [bastion : Install apache2-utils] *********************************************************************************************
2023-10-21 22:44:27,311 p=128758 u=igor n=ansible | changed: [158.160.45.111]
2023-10-21 22:44:27,317 p=128758 u=igor n=ansible | TASK [bastion : Copy squid.conf] ***************************************************************************************************
2023-10-21 22:44:28,271 p=128758 u=igor n=ansible | changed: [158.160.45.111]
2023-10-21 22:44:28,281 p=128758 u=igor n=ansible | TASK [bastion : Copy auth_users] ***************************************************************************************************
2023-10-21 22:44:28,914 p=128758 u=igor n=ansible | changed: [158.160.45.111]
2023-10-21 22:44:28,925 p=128758 u=igor n=ansible | TASK [bastion : stopped squid] *****************************************************************************************************
2023-10-21 22:45:01,413 p=128758 u=igor n=ansible | changed: [158.160.45.111]
2023-10-21 22:45:01,422 p=128758 u=igor n=ansible | TASK [bastion : request shell squid] ***********************************************************************************************
2023-10-21 22:45:03,119 p=128758 u=igor n=ansible | changed: [158.160.45.111]
2023-10-21 22:45:03,125 p=128758 u=igor n=ansible | TASK [bastion : started squid] *****************************************************************************************************
2023-10-21 22:45:03,666 p=128758 u=igor n=ansible | changed: [158.160.45.111]
2023-10-21 22:45:03,671 p=128758 u=igor n=ansible | TASK [bastion : enable squid] ******************************************************************************************************
2023-10-21 22:45:04,163 p=128758 u=igor n=ansible | ok: [158.160.45.111]
2023-10-21 22:45:04,169 p=128758 u=igor n=ansible | TASK [bastion : reconfigure squid] *************************************************************************************************
2023-10-21 22:45:04,506 p=128758 u=igor n=ansible | changed: [158.160.45.111]
2023-10-21 22:45:04,519 p=128758 u=igor n=ansible | PLAY [websrv-elvm] *****************************************************************************************************************
